product_name @ itemcode @ features @ price
LAPTOP INNOVATOR LE M1479C 14.1'' HD 2GB 32GB WIFI BT WIN 10 BLACK@PER.920536@Χαρακτηριστικά: INTEL ATOM QUAD CORE X5-Z8350 • HD IPS • INTEL HD • RAM 2GB • SSD 32GB EMMC • NO OPTICAL • WINDOWS 10 • BLUETOOTH • USB 3.0 • HDMI@229.00 189.00€@https://www.e-shop.gr/laptop-innovator-le-m1479c-141-hd-2gb-32gb-wifi-bt-win-10-black-p-PER.920536
LAPTOP INNOVATOR V148 360 TOUCH FHD 2GB 64GB WIFI BLACK@PER.920568@Χαρακτηριστικά: INTEL ATOM QUAD CORE X5-Z8350 (1.44 GHZ) •  14'' FULL HD IPS TOUCH-SCREEN •  RAM 2GB •  SSD64GB • INTEL HD 400 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.0 •  MINI HDMI • WINDO@279.00 195.90€@https://www.e-shop.gr/laptop-innovator-v148-360-touch-fhd-2gb-64gb-wifi-black-p-PER.920568
LAPTOP LENOVO 330-15IGM 81D100EMRM 15.6'' HD INTEL DUAL CORE N4000 4GB 128GB FREE DOS GREY@PER.913718@Χαρακτηριστικά: INTEL CELERON DUAL CORE N4000 (1.10 GHZ) •  15.6" HD TFT •  SSD 128GB •  RAM 4GB •  INTEL UHD 600 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.0 •  USB 3.1 •  HDMI •  FREE DOS •  2 ΧΡOΝΙΑ ΕΓΓΥΗΣΗ@299.00 229.90€@https://www.e-shop.gr/laptop-lenovo-330-15igm-81d100emrm-156-hd-intel-dual-core-n4000-4gb-128gb-free-dos-grey-p-PER.913718
LAPTOP HP 250 G6 4LT73ES 15.6'' HD INTEL DUAL CORE N4000 4GB 128GB FREE DOS@PER.901503@Χαρακτηριστικά: INTEL CELERON DUAL CORE N4000 (1.10 GHZ) •  15.6" HD TFT •  RAM 4GB •  SSD 128GB •  INTEL UHD 600 •  WI-FI •  DVD-RW •  BLUETOOTH •  USB 3.1 •  HDMI •  FREE DOS@299.00 239.90€@https://www.e-shop.gr/laptop-hp-250-g6-4lt73es-156-hd-intel-dual-core-n4000-4gb-128gb-free-dos-p-PER.901503
LAPTOP HP 255 G6 1WY10EA 15.6'' AMD DUAL CORE E2-9000E 4GB 500GB FREE DOS@PER.901465@Χαρακτηριστικά: AMD DUAL CORE E2-9000E (1.50 GHZ) •  15.6" HD TFT •  RAM 4GB •  HDD 500GB •  AMD R2 •  WI-FI •  DVD-RW •  BLUETOOTH •  USB 3.1 •  HDMI •  FREE DOS •  2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@269.00 259.00€@https://www.e-shop.gr/laptop-hp-255-g6-1wy10ea-156-amd-dual-core-e2-9000e-4gb-500gb-free-dos-p-PER.901465
LAPTOP ACER ASPIRE A315-31-C3BM 15.6'' HD INTEL DUAL CORE N3350 4GB 1TB LINUX@PER.903844@Χαρακτηριστικά: INTEL CELERON DUAL CORE N3350 (1.10 GHZ) •  15.6'' HD TFT •  HDD 1TB •  RAM 4GB •  INTEL HD 500 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.0 •  HDMI •  LINUX •  2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@289.00 259.00€@https://www.e-shop.gr/laptop-acer-aspire-a315-31-c3bm-156-hd-intel-dual-core-n3350-4gb-1tb-linux-p-PER.903844
LAPTOP INNOVATOR M1589 15.6'' FHD IPS 4GB 64GB WIFI BT WIN 10 ICE WHITE@PER.920554@Χαρακτηριστικά: INTEL DUAL CORE N3350 (1.10 GHZ) •  15.6'' FULL HD TFT •  RAM 4GB •  SSD64GB • INTEL HD 500 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.0 •  MINI HDMI • WINDOWS 10 •  2 ΧΡΌΝΙΑ ΕΓΓΎΗΣΗ@339.00 269.00€@https://www.e-shop.gr/laptop-innovator-m1589-156-fhd-ips-4gb-64gb-wifi-bt-win-10-ice-white-p-PER.920554
LAPTOP LENOVO V130-15IGM 81HL002ACY 15.6''' HD INTEL DUAL CORE N4000 4GB 128GB SSD WINDOWS 10@PER.913743@Χαρακτηριστικά: INTEL CELERON DUAL CORE N4000 (1.10 GHZ) •  15.6" HD TFT •  SSD128GB •  RAM 4GB •  INTEL UHD 600 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.0 •  HDMI •  WINDOWS 10 •  2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@369.00 274.00€@https://www.e-shop.gr/laptop-lenovo-v130-15igm-81hl002acy-156-hd-intel-dual-core-n4000-4gb-128gb-ssd-windows-10-p-PER.913743
LAPTOP LENOVO V110 80TD005PUK 15.6'' AMD DUAL CORE A9-9410 4GB 128GB SSD WINDOWS 10@PER.913737@Χαρακτηριστικά: AMD DUAL CORE A9-9410 (2.90 GHZ) •  15.6" HD TFT •  SSD128GB •  RAM 4GB •  AMD R5 •  WI-FI •  DVD-RW •  BLUETOOTH •  USB 3.0 •  HDMI •  WINDOWS 10 •  2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@449.00 339.90€@https://www.e-shop.gr/laptop-lenovo-v110-80td005puk-156-amd-dual-core-a9-9410-4gb-128gb-ssd-windows-10-p-PER.913737
LAPTOP HP 250 G6 4LT12EA 15.6'' FHD INTEL CORE I3-7020 4GB 128GB SSD FREE DOS@PER.901509@Χαρακτηριστικά: INTEL CORE I3-7020U (2.30 GHZ) •  15.6" FHD TFT •  RAM 4GB •  SSD 128GB •  INTEL HD 620 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.1 •  HDMI •  FREE DOS •  2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@399.00 342.90€@https://www.e-shop.gr/laptop-hp-250-g6-4lt12ea-156-fhd-intel-core-i3-7020-4gb-128gb-ssd-free-dos-p-PER.901509
LAPTOP ACER ASPIRE 3 A315-31-P572 15.6'' INTEL QUAD CORE N4200 4GB 1TB WINDOWS 10@PER.918012@Χαρακτηριστικά: INTEL PENTIUM QUAD CORE N4200 (1.100 GHZ) •  15.6'' HD TFT •  HDD 1TB •  RAM 4GB •  INTEL HD 505 •  WI-FI •  NO OPTICAL •  BLUETOOTH •  USB 3.0 •  HDMI •  WINDOWS 10 •  2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@399.00 349.00€@https://www.e-shop.gr/laptop-acer-aspire-3-a315-31-p572-156-intel-quad-core-n4200-4gb-1tb-windows-10-p-PER.918012
LAPTOP HP 250 G6 3VK25EA 15.6'' HD INTEL CORE I3-7020 4GB 500GB FREE DOS@PER.901499@Χαρακτηριστικά: INTEL CORE I3-7020U (2.30 GHZ) •  15.6" HD TFT •  RAM 4GB •  HDD 500GB •  INTEL HD 620 •  WI-FI •  DVD-RW •  BLUETOOTH •  USB 3.1 •  HDMI •  FREE DOS@399.00 350.90€@https://www.e-shop.gr/laptop-hp-250-g6-3vk25ea-156-hd-intel-core-i3-7020-4gb-500gb-free-dos-p-PER.901499
LAPTOP DELL INSPIRON 3573 15.6'' INTEL DUAL CORE N4000 4GB 500GB WINDOWS 10 HOME@PER.903590@Χαρακτηριστικά: INTEL CELERON DUAL CORE N4000 (1.10 GHZ) • 15.6'' HD TFT • HDD 500GB • RAM 4GB • INTEL UHD 600 • WI-FI • DVD-RW • BLUETOOTH • USB 3.0 • HDMI • WINDOWS 10 • 2 ΧΡΟΝΙΑ ΕΓΓΥΗΣΗ@379.00 359.00€@https://www.e-shop.gr/laptop-dell-inspiron-3573-156-intel-dual-core-n4000-4gb-500gb-windows-10-home-p-PER.903590
