product_name @ features @ price @ link
Πολυμηχάνημα Canon Pixma MX495  Έγχρωμο Inkjet A4CANON@Εγγύηση:  12 μήνες-Κατασκευαστής: CANON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 600 x 1200 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 dpi x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 dpi x 1200 dpi@49@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-canon-pixma-mx495-eghromo-inkjet-a4/prod7350421pp/
Πολυμηχάνημα HP Deskjet 2630 AiO   Inkjet A4  WiFiHP@Εγγύηση:  12 μήνες-Κατασκευαστής: HP-Σάρωση: Έως 1200 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@49@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-deskjet-2630-aio-inkjet-a4-wifi/prod8762026pp/
Πολυμηχάνημα HP Deskjet Ink Advantage 3785 AllinOne  Έγχρωμο  Ink...HP@-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: Μη διαθέσιμη πληροφορία-Ανάλυση Εκτύπωσης (ΑΜ): Έως 1200 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: Έως 4800 x 1200 dpi@69,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-deskjet-ink-advantage-3785-allinone-eghromo-inkjet-a4/prod8232382pp/
Πολυμηχάνημα Epson Expression Home XP342  Inkjet A4  WiFi@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 5760 x 1440 dpi-Ανάλυση Έγχρωμης Εκτ.: 5760 x 1440 dpi@75@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-expression-home-xp342-inkjet-a4-wifi/prod8684530pp/
Πολυμηχάνημα Canon Pixma MG5750  Έγχρωμο  Inkjet Α4CANON@Εγγύηση:  24 μήνες-Κατασκευαστής: CANON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Αυτόματη-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@89,99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-canon-pixma-mg5750-eghromo-inkjet-a4/prod7811451pp/
Πολυμηχάνημα Epson WorkForce WF2750  Έγχρωμο  InkjetEPSON@Εγγύηση:  12 μήνες-Κατασκευαστής: EPSON-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Χειροκίνητη-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-epson-workforce-wf2750-eghromo-inkjet/prod8190251pp/
Πολυμηχάνημα Canon Pixma TS6150  Έγχρωμο  Inkjet Α4CANON@Εγγύηση:  12 μήνες-Κατασκευαστής: CANON-Σάρωση: 1200 x 2400 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 4800 x 1200 dpi-Ανάλυση Έγχρωμης Εκτ.: 4800 x 1200 dpi@99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-canon-pixma-ts6150-eghromo-inkjet-a4/prod8850115pp/
HP LaserJet Pro M28A- Ασπρόμαυρος Εκτυπωτής Laser Α4HP@Εγγύηση:  12 μήνες-Κατασκευαστής: HP-Διπλή Όψη: Χειροκίνητη-Ανάλυση Εκτύπωσης (ΑΜ): 600 dpi x 600 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: Όχι@99@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/hp-laserjet-pro-m28a-aspromayros-ektypotis-laser-a4/prod9151220pp/
Πολυμηχάνημα Samsung Laser SLM2070  Ασπρόμαυρο  Laser A4SAMSUNG@Εγγύηση:  12 μήνες-Κατασκευαστής: SAMSUNG-Χρώμα Εκτύπωσης: Ασπρόμαυρο-Διπλή Όψη: Χειροκίνητη-Σάρωση: (Optical)  Up to 1200 x 1200dpi  //  (Enhanced)  Up to 4800 x 4800dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 x 1200 dpi-Δίκτυο: Όχι-Ανάλυση Έγχρωμης Εκτ.: Όχι@105@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-samsung-laser-slm2070-aspromayro-laser-a4/prod5360901pp/
Πολυμηχάνημα HP OfficeJet Pro 6960 AiO  Έγχρωμο Inkjet A4HP@Εγγύηση:  12 μήνες-Κατασκευαστής: HP-Χρώμα Εκτύπωσης: Έγχρωμο-Διπλή Όψη: Αυτόματη-Σάρωση: 600 x 1200 dpi-Ανάλυση Εκτύπωσης (ΑΜ): 1200 dpi x 600 dpi-Ανάλυση Έγχρωμης Εκτ.: 600 dpi x 1200 dpi@109,01@https://www.public.gr/product/perifereiaka/printers/multifuction-inkjet/polymihanima-hp-officejet-pro-6960-aio-eghromo-inkjet-a4/prod8232383pp/
