product_name @ features @ price @ link
Nokia 3.1 16GB Μαύρο Dual SimNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-31-16gb-mayro-dual-sim/prod9150579pp/
"MLS Fashion 8C 5"" Λευκό Dual Sim SmartphoneMLS"@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 3GB-Κάμερα: 16 Megapixel LED Flash-Επεξεργαστής: Octa Core-Βάρος: 142 g-Dual SIM: Ναι@128,98@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-fashion-8c-5-leyko-dual-sim-smartphone/prod8280557pp/
Alcatel Pop 4S (5.5) 16GB Χρυσό Dual Sim Smartphone (5095K)ALCATEL@Εγγύηση:  24 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel (Aperture f/2.0 HDR, EIS, QR code scanner)-Επεξεργαστής: Octa Core-Βάρος: 150 g-Dual SIM: Ναι@159,01@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-pop-4s-55-16gb-hryso-dual-sim-smartphone-5095k/prod8110932pp/
Lenovo K6 Power 16GB Γκρι Dual Sim SmartphoneLENOVO@Εγγύηση:  24 μήνες-Κατασκευαστής: LENOVO-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/lenovo-k6-power-16gb-gkri-dual-sim-smartphone/prod8293680pp/
Motorola Moto C 16GB Χρυσό Dual Sim SmartphoneMOTOROLA@Εγγύηση:  24 μήνες-Κατασκευαστής: MOTOROLA-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 1 GB-Κάμερα: 5 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 154 g-Dual SIM: Ναι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/motorola-moto-c-16gb-hryso-dual-sim-smartphone/prod8711461pp/
Xiaomi Redmi 5 Plus 64GB Χρυσό Dual Sim 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel, CMOS, f/2.2, Two Tone Flash-Επεξεργαστής: Octa Core-Βάρος: 180 g-Dual SIM: Ναι@235@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-5-plus-64gb-hryso-dual-sim-4g-smartphone/prod8961008pp/
Fluo M2 Plus 8GB Μαύρο SmartphoneFLUO@Εγγύηση:  24 μήνες-Κατασκευαστής: FLUO-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 110 g-Dual SIM: Όχι@69,01@https://www.public.gr/product/tilefonia/kinita-smartphones/fluo-m2-plus-8gb-mayro-smartphone/prod8801219pp/
MLS Fab 4G Μαύρο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1GB-Κάμερα: 8 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 127 g-Dual SIM: Ναι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-fab-4g-mayro-dual-sim-smartphone/prod8561289pp/
Xiaomi Mi 6  64GB Dual Sim Μαύρο Dual Sim Smartphone@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 6 GB-Κάμερα: 12 Megapixel Dual Camera με OIS-Επεξεργαστής: Octa Core-Βάρος: 168 g-Dual SIM: Ναι@398,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-6-64gb-dual-sim-mayro-dual-sim-smartphone/prod8762495pp/
Alcatel Pop Up 16GB Μάυρο Dual Sim SmartphoneALCATEL@Εγγύηση:  24 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 132 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-pop-up-16gb-mayro-dual-sim-smartphone/prod8220385pp/
MLS Color Fingerprint 16GB Μαύρο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 140 g-Dual SIM: Ναι@119@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-color-fingerprint-16gb-mayro-dual-sim-smartphone/prod8910040pp/
Huawei Y6 2018 16GB Χρυσό Dual Sim 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 150 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-y6-2018-16gb-hryso-dual-sim-4g-smartphone/prod9092155pp/
Nokia 2 Dual Sim 8GB Λευκό SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@99@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-2-dual-sim-8gb-leyko-smartphone/prod8811364pp/
"MLS Alu 5.5"" 8GB Χρυσό Dual Sim SmartphoneMLS"@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 3G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 184 g-Dual SIM: Ναι@99,89@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-alu-55-8gb-hryso-dual-sim-smartphone/prod8561287pp/
Alcatel OneTouch Pixi 4 (5) 8GB Λευκό Dual Sim Smartphone (5010D)ALCATEL@Εγγύηση:  24 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 3G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 5 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 148 g-Dual SIM: Ναι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-onetouch-pixi-4-5-8gb-leyko-dual-sim-smartphone-5010d/prod8220359pp/
Samsung Galaxy S8+ 64GB Silver SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel Dual Pixel Camera f1.7 με OIS-Επεξεργαστής: Octa Core-Βάρος: 173 g-Dual SIM: Όχι@845@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-s8-plus-64gb-silver-smartphone/prod8544049pp/
Nokia 2.1 Dual Sim 8GB Μπλε/ΑσημίNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB LPDDR3-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 174 g-Dual SIM: Ναι@119@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-21-dual-sim-8gb-mpleasimi/prod9250505pp/
Alcatel Pop Up 16GB Λευκό Dual Sim SmartphoneALCATEL@Εγγύηση:  24 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 132 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-pop-up-16gb-leyko-dual-sim-smartphone/prod8220386pp/
MLS Fab 4G Λευκό/Ασημί Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1GB-Κάμερα: 8 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 127 g-Dual SIM: Ναι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-fab-4g-leykoasimi-dual-sim-smartphone/prod8561291pp/
Huawei Mate 10 Lite 64GB Μαύρο Dual Sim SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 16 Megapixel + 2 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 164 g-Dual SIM: Hybrid Dual SIM@248,99@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-mate-10-lite-64gb-mayro-dual-sim-smartphone/prod8831283pp/
MLS Easy Flip Champagne Χρυσό Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: Μη διαθέσιμη πληροφορία-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@119,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-easy-flip-champagne-hryso-dual-sim-smartphone/prod8591607pp/
Nokia 3 16GB Λευκό Dual Sim Smartphone@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@119@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-3-16gb-leyko-dual-sim-smartphone/prod8671248pp/
Nokia 2 Dual Sim 8GB Μαύρο SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@99@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-2-dual-sim-8gb-mayro-smartphone/prod8811363pp/
MLS Easy S 8GB Champagne Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Dual SIM: Ναι-Λειτουργία Wi-Fi: Ναι-Βάρος: 162 g@69,9@https://www.public.gr/product/tilefonia/kinita-aplis-hrisis/mls-easy-s-8gb-champagne-dual-sim-smartphone/prod8430551pp/
MLS Fab 4G Champagne Χρυσό Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1GB-Κάμερα: 8 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 127 g-Dual SIM: Ναι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-fab-4g-champagne-hryso-dual-sim-smartphone/prod8561290pp/
MLS Color Λευκό Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 1GB-Κάμερα: 8 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 145 g-Dual SIM: Ναι@69,99@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-color-leyko-dual-sim-smartphone/prod8280550pp/
MLS Status Κοραλί Dual Sim SmartphoneMLS@Εγγύηση:  24 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1GB-Κάμερα: 5 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 110 g-Dual SIM: Ναι@59,99@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-status-korali-dual-sim-smartphone/prod8270230pp/
MLS Easy Flip Γκρι Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: Μη διαθέσιμη πληροφορία-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@119,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-easy-flip-gkri-dual-sim-smartphone/prod8591606pp/
MLS Diamond 8C Fingerprint 32GB Ασημί SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 132 g-Dual SIM: Ναι@149,99@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-diamond-8c-fingerprint-32gb-asimi-smartphone/prod8280558pp/
MLS Color Mini Ροζ Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 1GB-Κάμερα: 8 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 145 g-Dual SIM: Ναι@69,69@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-color-mini-roz-dual-sim-smartphone/prod8280552pp/
MLS Easy S 8GB Μαύρο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Dual SIM: Ναι-Λειτουργία Wi-Fi: Ναι-Βάρος: 162 g@69,9@https://www.public.gr/product/tilefonia/kinita-aplis-hrisis/mls-easy-s-8gb-mayro-dual-sim-smartphone/prod8430549pp/
MLS Easy S1 8GB Ασημί/Μαύρο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 512 MB-Κάμερα: 2 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 142 g-Dual SIM: Ναι@59,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-easy-s1-8gb-asimimayro-dual-sim-smartphone/prod8530360pp/
MLS Trend Λευκό Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 8 Megapixel LED Flash-Επεξεργαστής: Quad Core-Βάρος: 127 g-Dual SIM: Ναι@69,49@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-trend-leyko-dual-sim-smartphone/prod8280554pp/
"MLS Alu 5.5"" 8GB Μαύρο Dual Sim SmartphoneMLS"@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 3G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 184 g-Dual SIM: Ναι@99,89@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-alu-55-8gb-mayro-dual-sim-smartphone/prod8561284pp/
TP Link Neffos Y50 8GB Μαύρο Dual Sim SmartphoneTP-LINK@Εγγύηση:  24 μήνες-Κατασκευαστής: TP-LINK-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 5 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 128 g-Dual SIM: Όχι@69,9@https://www.public.gr/product/tilefonia/kinita-smartphones/tp-link-neffos-y50-8gb-mayro-dual-sim-smartphone/prod8600212pp/
Samsung Galaxy Note 9 512GB Μαύρο 4G Dual Sim SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 512 GB-Μνήμη RAM: 8 GB-Κάμερα: 12+12 Megapixel SS Dual Pixel Camera-Επεξεργαστής: Octa Core-Βάρος: 201 g-Dual SIM: Ναι@1047,58@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-note-9-512gb-mayro-4g-dual-sim-smartphone/prod9290051pp/
Samsung Galaxy Note 9 128GB Μπλε 4G Dual Sim SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: 12+12 Megapixel SS Dual Pixel Camera-Επεξεργαστής: Octa Core-Βάρος: 201 g-Dual SIM: Ναι@845,97@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-note-9-128gb-mple-4g-dual-sim-smartphone/prod9250699pp/
Samsung Galaxy Note 9 128GB Lavender 4G Dual Sim SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: 12+12 Megapixel SS Dual Pixel Camera-Επεξεργαστής: Octa Core-Βάρος: 201 g-Dual SIM: Ναι@845,97@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-note-9-128gb-lavender-4g-dual-sim-smartphone/prod9250700pp/
MLS MX 32GB Mocha Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 161 g-Dual SIM: Ναι@178,99@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-mx-32gb-mocha-dual-sim-smartphone/prod8700375pp/
Samsung Galaxy A7 64GB  Dual Sim Μαύρο SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 24 Megapixel f/1.7 & 5 Megapixel f/2.2 & 8 Megapixel f/2.4-Επεξεργαστής: Octa Core-Βάρος: 168 g-Dual SIM: Ναι@297,58@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a7-64gb-dual-sim-mayro-smartphone/prod9422334pp/
Huawei P20 64GB Dual Sim Μωβ SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual Camera 20 Megapixel f/2.2 + 12 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 165 g-Dual SIM: Ναι@499@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-p20-64gb-dual-sim-mob-smartphone/prod9294505pp/
Huawei P20 64GB Dual Sim Μαύρο SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual Camera 20 Megapixel + 12 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 165 g-Dual SIM: Ναι@499@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-p20-64gb-dual-sim-mayro-smartphone/prod9294504pp/
Samsung Galaxy A7 64GB  Dual Sim Χρυσό SmartphoneSAMSUNG@@297,58@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a7-64gb-dual-sim-hryso-smartphone/prod9422336pp/
Samsung Galaxy A6+ 32GB Μαύρο Dual Sim 4G SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel f/1.7 & 5 Megapixel f/1.9-Επεξεργαστής: Octa Core-Βάρος: 191 g-Dual SIM: Ναι@257,26@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a6-plus-32gb-mayro-dual-sim-4g-smartphone/prod9110280pp/
Apple iPhone 8 Plus 64GB Product (RED) 4G SmartphoneAPPLE@Εγγύηση:  24 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: Μη διαθέσιμη πληροφορία-Κάμερα: Dual 12 Megapixel (wide-angle and telephoto)-Επεξεργαστής: Hexa Core-Βάρος: 202 g-Dual SIM: Όχι@769@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-8-plus-64gb-product-red-4g-smartphone/prod9020626pp/
Samsung Galaxy J6+ Dual Sim Γκρι SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel, 5 Megapixel depth sensor-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@201@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j6-plus-dual-sim-gkri-smartphone/prod9360558pp/
Samsung Galaxy J6+ Dual Sim Κόκκινο SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel, 5 Megapixel depth sensor-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@201@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j6-plus-dual-sim-kokkino-smartphone/prod9360559pp/
Samsung Galaxy J6+ Dual Sim Μαύρο SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel, 5 Megapixel depth sensor -Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι @239@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j6-plus-dual-sim-mayro-smartphone/prod9360557pp/
Huawei Y7 Prime 2018 32GB Μαύρο Dual Sim 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 & 2 Megapixel Dual Camera-Επεξεργαστής: Octa Core-Βάρος: 155 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-y7-prime-2018-32gb-mayro-dual-sim-4g-smartphone/prod9092159pp/
Samsung Galaxy A6+ 32GB Χρυσό Dual Sim 4G SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel f/1.7 & 5 Megapixel f/1.9-Επεξεργαστής: Octa Core-Βάρος: 191 g-Dual SIM: Ναι@257,26@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a6-plus-32gb-hryso-dual-sim-4g-smartphone/prod9110281pp/
Samsung Galaxy A6 32GB Χρυσό Dual Sim 4G SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel f/1.7-Επεξεργαστής: Octa Core-Βάρος: 162 g-Dual SIM: Ναι@233,07@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a6-32gb-hryso-dual-sim-4g-smartphone/prod9110284pp/
Motorola Moto G5 Plus 32GB 4G Fine Gold SmartphoneMOTOROLA@Εγγύηση:  24 μήνες-Κατασκευαστής: MOTOROLA-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel-Επεξεργαστής: Octa-core-Βάρος: 155 g-Dual SIM: Ναι@249@https://www.public.gr/product/tilefonia/kinita-smartphones/motorola-moto-g5-plus-32gb-4g-fine-gold-smartphone/prod9521133pp/
Asus ZenFone 4 64GB Dual Sim Λευκό 4G SmartphoneASUS@Εγγύηση:  24 μήνες-Κατασκευαστής: ASUS-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual Camera 12 Megapixel f/1.8 + 8 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 165 g-Dual SIM: Ναι@499@https://www.public.gr/product/tilefonia/kinita-smartphones/asus-zenfone-4-64gb-dual-sim-leyko-4g-smartphone/prod9521134pp/
Xiaomi Redmi 6 32GB Μαύρο SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: Οχι -Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 MP (f / 2.2, PDAF) & 5 MP (f / 2.2, without AF, depth sensor)-Επεξεργαστής: Octa Core-Βάρος: 146 g-Dual SIM: Οχι@178,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-6-32gb-mayro-smartphone/prod9310129pp/
Samsung Galaxy A6+ 32GB Lavender Dual Sim 4G SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel f/1.7 & 5 Megapixel f/1.9-Επεξεργαστής: Octa Core-Βάρος: 191 g-Dual SIM: Ναι@257,26@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a6-plus-32gb-lavender-dual-sim-4g-smartphone/prod9110282pp/
Samsung Galaxy J6 2018 Dual Sim 32GB Μαύρο SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 154 g-Dual SIM: Ναι@169@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j6-2018-dual-sim-32gb-mayro-smartphone/prod9110286pp/
Huawei Y6 2018 16GB Μαύρο Dual Sim 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 150 g-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-y6-2018-16gb-mayro-dual-sim-4g-smartphone/prod9092153pp/
