product_name @ features @ price @ link
Smartphone Samsung Galaxy J6 2018 Dual Sim 32GB ΧρυσόSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 154 g-Dual SIM: Ναι@169@https://www.public.gr/product/tilefonia/kinita-smartphones/smartphone-samsung-galaxy-j6-2018-dual-sim-32gb-hryso/prod9110287pp/
MLS DX 16GB Μαύρο Dual Sim SmartphoneMLS@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 16 Megapixel + 5 Megapixel Dual Camera-Επεξεργαστής: Quad Core-Βάρος: 140 g-Dual SIM: Ναι@129,9@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-dx-16gb-mayro-dual-sim-smartphone/prod8810275pp/
Samsung Galaxy J6 2018 Dual Sim 32GB Lavender Γκρι SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 154 g-Dual SIM: Ναι@169@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j6-2018-dual-sim-32gb-lavender-gkri-smartphone/prod9110288pp/
Sony Xperia XA1 Plus 32GB Χρυσό Dual Sim 4G SmartphoneSONY@"Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 23 Megapixel με Exmor RS 1/2.3"" f/2.0-Επεξεργαστής: Octa Core-Βάρος: 190 g-Dual SIM: Ναι"@199@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa1-plus-32gb-hryso-dual-sim-4g-smartphone/prod9091403pp/
Xiaomi Mi Α1 64GB Rose Gold Dual Sim Smartphone Powered by GoogleXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel Dual Camera-Επεξεργαστής: Octa Core-Βάρος: 165 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-a1-64gb-rose-gold-dual-sim-smartphone-powered-by-google/prod8762494pp/
Xiaomi Redmi 5 Note 32GB Μαύρο 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-5-note-32gb-mayro-4g-smartphone/prod9091412pp/
Sony Xperia XA2 Ultra 32GB Χρυσό Dual Sim 4G SmartphoneSONY@"Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 4 GB-Κάμερα: 23 Megapixel με Exmor RS 1/2.3"" f/2.0-Επεξεργαστής: Octa Core-Βάρος: 221 g-Dual SIM: Ναι"@309@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa2-ultra-32gb-hryso-dual-sim-4g-smartphone/prod9091406pp/
Xiaomi Redmi 5 Note 32GB Χρυσό 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-5-note-32gb-hryso-4g-smartphone/prod9091411pp/
Sony Xperia XA2 32GB Μαύρο Dual Sim 4G SmartphoneSONY@"Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 23 Megapixel με Exmor RS 1/2.3"" f/2.0-Επεξεργαστής: Octa Core-Βάρος: 171 g-Dual SIM: Ναι"@249@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa2-32gb-mayro-dual-sim-4g-smartphone/prod9091409pp/
Nokia 6.1 32GB Dual Sim Μαύρο 4G SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB LPPDDR4-Κάμερα: 16 Megapixel PDAF f/2.0 dual tone flash-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@295@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-61-32gb-dual-sim-mayro-4g-smartphone/prod8971062pp/
TP Link Neffos X1 Lite 16GB Γκρι Dual Sim SmartphoneTP-LINK@Εγγύηση:  24 μήνες-Κατασκευαστής: TP-LINK-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 138 g-Dual SIM: Ναι@109@https://www.public.gr/product/tilefonia/kinita-smartphones/tp-link-neffos-x1-lite-16gb-gkri-dual-sim-smartphone/prod8811837pp/
Xiaomi Redmi 5 Note 64GB Μαύρο 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel & 5 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 181 g-Dual SIM: Ναι@249@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-5-note-64gb-mayro-4g-smartphone/prod9091414pp/
Motorola Moto C Plus 16GB Μαύρο Dual Sim 4G SmartphoneMOTOROLA@Εγγύηση:  24 μήνες-Κατασκευαστής: MOTOROLA-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 162 g-Dual SIM: Ναι@89,9@https://www.public.gr/product/tilefonia/kinita-smartphones/motorola-moto-c-plus-16gb-mayro-dual-sim-4g-smartphone/prod9130943pp/
Xiaomi Mi Α1 64GB Red Dual Sim Smartphone Powered by GoogleXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel Dual Camera-Επεξεργαστής: Octa Core-Βάρος: 165 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-a1-64gb-red-dual-sim-smartphone-powered-by-google/prod8950481pp/
Alcatel U5 HD 16GB Dual Sim Χρυσό Smartphone & Κινητό Alcatel 105...ALCATEL@Εγγύηση:  24 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 135 g-Dual SIM: Ναι@89,9@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-u5-hd-16gb-dual-sim-hryso-smartphone-and-kinito-alcatel-1050d/prod9165270pp/
Nokia 3.1 16GB Μπλε Dual Sim SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-31-16gb-mple-dual-sim-smartphone/prod9150580pp/
Apple iPhone SE 32GB Silver SmartphoneAPPLE@Εγγύηση:  24 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 12 Megapixel-Επεξεργαστής: Dual Core-Βάρος: 113 g-Dual SIM: Όχι@299@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-se-32gb-silver-smartphone/prod8545082pp/
Huawei Mate 10 Pro 128GB Midnight Blue Dual Sim SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 128 GB-Μνήμη RAM: 6 GB-Κάμερα: Dual 20 Megapixel & 12 Megapixel // f/1.6, OIS (οπτικός σταθεροποιητής εικόνας), Αισθητήρας BSI, Διπλό LED φλας, PDAF & CAF & Laser & αυτόματη εστίαση βάθους, 2x Υβριδικό Zoom-Επεξεργαστής: Octa Core-Βάρος: 178 g-Dual SIM: Ναι@798,99@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-mate-10-pro-128gb-midnight-blue-dual-sim-smartphone/prod8831286pp/
Samsung Galaxy S8+ 64GB Orchid Gray SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel Dual Pixel Camera f1.7 με OIS-Επεξεργαστής: Octa Core-Βάρος: 173 g-Dual SIM: Όχι@845@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-s8-plus-64gb-orchid-gray-smartphone/prod8544048pp/
Xiaomi Redmi 5 Plus 32GB Μαύρο Dual Sim 4G SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 12 Megapixel, CMOS, f/2.2, Two Tone Flash-Επεξεργαστής: Octa Core-Βάρος: 180 g-Dual SIM: Ναι@178,99@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-5-plus-32gb-mayro-dual-sim-4g-smartphone/prod8961004pp/
TP Link Neffos X1 Max 32GB Χρυσό Dual Sim SmartphoneTP-LINK@Εγγύηση:  24 μήνες-Κατασκευαστής: TP-LINK-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@149@https://www.public.gr/product/tilefonia/kinita-smartphones/tp-link-neffos-x1-max-32gb-hryso-dual-sim-smartphone/prod8600219pp/
Samsung Galaxy A6 32GB Lavender Dual Sim 4G SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel f/1.7-Επεξεργαστής: Octa Core-Βάρος: 162 g-Dual SIM: Ναι@233,07@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a6-32gb-lavender-dual-sim-4g-smartphone/prod9110285pp/
"MLS Alu 5.5"" 8GB Ροζ Dual Sim SmartphoneMLS"@Εγγύηση:  12 μήνες-Κατασκευαστής: MLS-Δίκτυο: 3G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 184 g-Dual SIM: Ναι@99,89@https://www.public.gr/product/tilefonia/kinita-smartphones/mls-alu-55-8gb-roz-dual-sim-smartphone/prod8561286pp/
Huawei P20 Lite 64GB Dual Sim Μαύρο 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual Camera 16 Megapixel f/2.2 + 2 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@329@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-p20-lite-64gb-dual-sim-mayro-4g-smartphone/prod8971058pp/
TP Link Neffos X1 Max 4GB/64GB Γκρι Dual Sim SmartphoneTP-LINK@Εγγύηση:  24 μήνες-Κατασκευαστής: TP-LINK-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/tp-link-neffos-x1-max-4gb64gb-gkri-dual-sim-smartphone/prod8570257pp/
Huawei P20 Lite 64GB Dual Sim Μπλε 4G SmartphoneHUAWEI@Εγγύηση:  24 μήνες-Κατασκευαστής: HUAWEI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: Dual Camera 16 Megapixel f/2.2 + 2 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@329@https://www.public.gr/product/tilefonia/kinita-smartphones/huawei-p20-lite-64gb-dual-sim-mple-4g-smartphone/prod8971060pp/
Samsung Galaxy J7 2017 16GB Μπλε Dual Sim SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 170 g-Dual SIM: Ναι@249@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j7-2017-16gb-mple-dual-sim-smartphone/prod8683159pp/
Samsung Galaxy A6 32GB Μαύρο Dual Sim 4G SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 16 Megapixel f/1.7-Επεξεργαστής: Octa Core-Βάρος: 162 g-Dual SIM: Ναι@233,07@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-a6-32gb-mayro-dual-sim-4g-smartphone/prod9110283pp/
Nokia 6.1 32GB Dual Sim Λευκό 4G SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB LPPDDR4-Κάμερα: 16 Megapixel PDAF f/2.0 dual tone flash-Επεξεργαστής: Octa Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@295@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-61-32gb-dual-sim-leyko-4g-smartphone/prod8971064pp/
Nokia 2 Dual Sim 8GB Copper SmartphoneNOKIA@Εγγύηση:  24 μήνες-Κατασκευαστής: NOKIA-Δίκτυο: 4G-Χωρητικότητα: 8 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@99@https://www.public.gr/product/tilefonia/kinita-smartphones/nokia-2-dual-sim-8gb-copper-smartphone/prod8811365pp/
Lenovo Moto G4 Plus 16GB Λευκό Dual Sim SmartphoneLENOVO@Εγγύηση:  24 μήνες-Κατασκευαστής: LENOVO-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 16 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 155 g-Dual SIM: Ναι@129@https://www.public.gr/product/tilefonia/kinita-smartphones/lenovo-moto-g4-plus-16gb-leyko-dual-sim-smartphone/prod8250755pp/
Sony Xperia XA1 32GB Ροζ Dual Sim SmartphoneSONY@Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 23 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 143 g-Dual SIM: Ναι@169@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa1-32gb-roz-dual-sim-smartphone/prod8560361pp/
Wiko Robby 16GB Γκρι Dual Sim SmartphoneWIKO@Εγγύηση:  24 μήνες-Κατασκευαστής: WIKO-Δίκτυο: 3G-Χωρητικότητα: 16 GB-Μνήμη RAM: 1 GB-Κάμερα: 8 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 185 g-Dual SIM: Ναι@109@https://www.public.gr/product/tilefonia/kinita-smartphones/wiko-robby-16gb-gkri-dual-sim-smartphone/prod8560191pp/
Samsung Galaxy J5 2017  16GB Μαύρο SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 160 g-Dual SIM: Όχι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j5-2017-16gb-mayro-smartphone/prod8683152pp/
Apple iPhone 7 32GB Χρυσό 4G SmartphoneAPPLE@Εγγύηση:  24 μήνες-Κατασκευαστής: APPLE-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 2 GB-Κάμερα: 12 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 138 g-Dual SIM: Όχι@569@https://www.public.gr/product/tilefonia/kinita-smartphones/apple-iphone-7-32gb-hryso-4g-smartphone/prod8242350pp/
Xiaomi Redmi 4 Pro 32GB Χρυσό Dual Sim SmartphoneXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 156 g-Dual SIM: Ναι@219@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-redmi-4-pro-32gb-hryso-dual-sim-smartphone/prod8492466pp/
Samsung Galaxy J5 2017  16GB Χρυσό SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 160 g-Dual SIM: Όχι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j5-2017-16gb-hryso-smartphone/prod8683153pp/
ZTE Blade L110 Lite B Μαύρο SmartphoneZTE@Εγγύηση:  24 μήνες-Κατασκευαστής: ZTE-Δίκτυο: 3G-Χωρητικότητα: 4 GB-Μνήμη RAM: 512 MB-Κάμερα: 5 Megapixel-Επεξεργαστής: Quad Core-Βάρος: 110 g-Dual SIM: Μη διαθέσιμη πληροφορία@54,89@https://www.public.gr/product/tilefonia/kinita-smartphones/zte-blade-l110-lite-b-mayro-smartphone/prod8682480pp/
Xiaomi Mi Α1 64GB Χρυσό Dual Sim Smartphone Powered by GoogleXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI-Δίκτυο: 4G-Χωρητικότητα: 64 GB-Μνήμη RAM: 4 GB-Κάμερα: 12 Megapixel Dual Camera-Επεξεργαστής: Octa Core-Βάρος: 165 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/xiaomi-mi-a1-64gb-hryso-dual-sim-smartphone-powered-by-google/prod8762493pp/
Samsung Galaxy J5 2017  16GB Μπλε SmartphoneSAMSUNG@Εγγύηση:  24 μήνες-Κατασκευαστής: SAMSUNG-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 160 g-Dual SIM: Όχι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/samsung-galaxy-j5-2017-16gb-mple-smartphone/prod8683154pp/
Sony Xperia XA1 32GB Χρυσό Dual Sim SmartphoneSONY@Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 32 GB-Μνήμη RAM: 3 GB-Κάμερα: 23 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 143 g-Dual SIM: Ναι@169@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa1-32gb-hryso-dual-sim-smartphone/prod8560362pp/
Sony Xperia XA 16GB Μαύρο SmartphoneSONY@Εγγύηση:  24 μήνες-Κατασκευαστής: SONY-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 139 g-Dual SIM: Όχι@158,99@https://www.public.gr/product/tilefonia/kinita-smartphones/sony-xperia-xa-16gb-mayro-smartphone/prod8090475pp/
Lenovo K6 Power 16GB Χρυσό Dual Sim SmartphoneLENOVO@Εγγύηση:  24 μήνες-Κατασκευαστής: LENOVO-Δίκτυο: 4G-Χωρητικότητα: 16 GB-Μνήμη RAM: 2 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Octa Core-Βάρος: 145 g-Dual SIM: Ναι@199@https://www.public.gr/product/tilefonia/kinita-smartphones/lenovo-k6-power-16gb-hryso-dual-sim-smartphone/prod8300396pp/
Alcatel 3X 4G Dual Sim ΜπλεALCATEL@Εγγύηση:  12 μήνες-Κατασκευαστής: ALCATEL-Δίκτυο: 4G-Χωρητικότητα: 3 GB-Μνήμη RAM: 3 GB-Κάμερα: 13 Megapixel-Επεξεργαστής: Quad Core-Βάρος: Μη διαθέσιμη πληροφορία-Dual SIM: Ναι@129,9@https://www.public.gr/product/tilefonia/kinita-smartphones/alcatel-3x-4g-dual-sim-mple/prod9294515pp/
